Code,Name,Registration_number,Keph level,Facility type,Owner,Regulatory body,Beds,Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Service_names,Approved,Public visible,Closed
18835,AIC Biribiriet Dispensary,,Level 2,Dispensaries and clinic-out patient only,Other Faith Based,Other,0,0,TRANS NZOIA,CHERANGANY,cherangany,MAKUTANO,Operational,No,No,No,No,,Yes,Yes,No
18834,Wheel Kenya Medical Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,4,4,KISUMU,KISUMU EAST,kisumu east,KOLWA EAST,Operational,Yes,No,Yes,No,,Yes,Yes,No
18832,Karatina Maternity & Nursing Home,,Level 2,Dispensaries and clinic-out patient only,Public Institution,Kenya MPDB - Institution,0,0,KIRINYAGA,KIRINYAGA CENTRAL,kirinyaga central,KERUGOYA,Operational,No,No,Yes,No,,Yes,Yes,No
18831,Malabot Dispensary (North Horr),,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,MARSABIT,NORTH HORR,north horr,NORTH HORR,Operational,No,No,No,No,,Yes,Yes,No
18830,Burgabo Dispensary (Chalbi),,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,MARSABIT,NORTH HORR,north horr,TURBI,Operational,No,No,No,No,,Yes,Yes,No
18829,Primo Medical Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Ministry of Health,0,0,NAKURU,GILGIL,gilgil,GILGIL,Operational,No,No,Yes,No,,Yes,Yes,No
18828,Lea Toto Mwiki,,Level 2,VCT,Non-Governmental Organizations,Other,0,0,NAIROBI,ROYSAMBU,roysambu,ZIMMERMAN,Operational,No,No,No,No,,Yes,Yes,No
18827,Kwosp (Korogocho),,Level 2,VCT,Non-Governmental Organizations,Other,0,0,NAIROBI,EMBAKASI NORTH,embakasi north,KARIOBANGI NORTH,Operational,No,No,No,No,,Yes,Yes,No
18826,Vorhca VCT Stand Alone,,Level 2,VCT,Private Enterprise (Institution),Ministry of Health,0,0,KAKAMEGA,KHWISERO,khwisero,KISA NORTH,Operational,No,No,Yes,No,,Yes,Yes,No
18825,Jehova Rapha Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Ministry of Health,1,2,KAKAMEGA,MATUNGU,matungu,MAYONI,Operational,No,No,Yes,No,,Yes,Yes,No
18824,Mbaruk Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,NAKURU,GILGIL,gilgil,MBARUK/EBURU,Operational,No,No,No,No,,Yes,Yes,No
18823,Kabarak University Medical Centre,,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Pharmacy & Poisons Board,4,2,NAKURU,RONGAI,rongai,MENENGAI WEST,Operational,Yes,No,Yes,No,,Yes,Yes,No
18821,Abakaile Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,GARISSA,DAADAB,dadaab,DERTU,Operational,No,No,No,No,,Yes,Yes,No
18820,Shura Dispensary (Chalbi),,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MARSABIT,NORTH HORR,north horr,TURBI,Operational,No,No,No,No,,Yes,Yes,No
18819,Syokimau Medical Services,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Ministry of Health,5,2,MACHAKOS,MAVOKO,athi river,MUTHWANI,Operational,Yes,No,Yes,No,,Yes,Yes,No
18817,Avenue Health Care Nakuru,,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAKURU,NAKURU TOWN EAST,nakuru west,LONDON,Operational,No,No,Yes,No,,Yes,Yes,No
18816,Annointed Medical Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Ministry of Health,0,0,KAKAMEGA,MUMIAS EAST,mumias east,LUSHEYA/LUBINU,Operational,Yes,No,No,No,,Yes,Yes,No
18813,Bgp Block 10Ba Base Camp Clinic,,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Ministry of Health,0,0,TURKANA,TURKANA CENTRAL,turkana central,KALOKOL,Operational,Yes,No,Yes,No,,Yes,Yes,No
18812,County Medicare Ltd (Maralal Nursing Home),,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,10,0,SAMBURU,SAMBURU CENTRAL,samburu central,MARALAL,Operational,Yes,No,Yes,No,,Yes,Yes,No
18811,Kalima Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,0,MAKUENI,MAKUENI,makueni,NZAUI/KILILI/KALAMBA,Operational,No,No,No,No,,Yes,Yes,No
18810,Montana Hospital,,Level 4,Primary care hospitals,Private Practice - General Practitioner,Kenya MPDB - Private Practice,6,2,MOMBASA,KISAUNI,kisauni,MAGOGONI,Operational,Yes,No,Yes,No,,Yes,Yes,No
18809,Tutini Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MAKUENI,KIBWEZI WEST,kibwezi west,EMALI/MULALA,Operational,No,No,No,No,,Yes,Yes,No
18805,Bodaki Medical Clinic,,Level 3,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),4,0,NAIROBI,DAGORETTI NORTH,dagoretti north,GATINA,Operational,Yes,No,Yes,No,,Yes,Yes,No
18804,AHF Soko Clinic,,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Kenya MPDB - Institution,0,0,MOMBASA,NYALI,nyali,KONGOWEA,Operational,No,No,No,No,,Yes,Yes,No
18801,Hamey Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,GARISSA,BALAMBALA,balambala,SAKA,Operational,No,No,No,No,,Yes,Yes,No
18800,Oren Health Centre,,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,KISUMU,NYANDO,nyando,AWASI/ONJIKO,Operational,No,No,No,No,,Yes,Yes,No
18799,Ifo 2 Hospital,,Level 4,Primary care hospitals,Ministry of Health,Ministry of Health,30,10,GARISSA,DAADAB,dadaab,DERTU,Operational,Yes,No,Yes,No,,Yes,Yes,No
18798,Nist Dispensary,,Level 2,Dispensaries and clinic-out patient only,Parastatal,Ministry of Health,0,0,NYANDARUA,OLJOROOK,oljoroorok,GATIMU,Operational,No,No,No,No,,Yes,Yes,No
18797,Olive Link Health Care,,Level 3,Basic primary health care facility,Non-Governmental Organizations,Ministry of Health,6,0,NAIROBI,EMBAKASI SOUTH,embakasi south,KWARE,Operational,Yes,No,Yes,No,,Yes,Yes,No
18796,Sasa Centre (Makadara),,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Ministry of Health,0,0,NAIROBI,STAREHE,starehe,NAIROBI SOUTH,Operational,No,No,No,No,,Yes,Yes,No
18795,Church Army Medical Clinic,,Level 2,Dispensaries and clinic-out patient only,Christian Health Association of Kenya,Ministry of Health,0,0,NAIROBI,MAKADARA,makadara,MAKONGENI,Operational,No,No,Yes,No,,Yes,Yes,No
18793,Little Angels Medical Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,MACHAKOS,MACHAKOS TOWN,machakos,MACHAKOS CENTRAL,Operational,No,No,Yes,No,,Yes,Yes,No
18791,Sportlight Empowerment Group,,Level 2,VCT,Private Enterprise (Institution),Other,0,0,NANDI,ALDAI,aldai,KEMELOI-MARABA,Operational,No,No,Yes,No,,Yes,Yes,No
18790,Aphiaplus Drop-In Centre (Naivasha),,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Other,0,0,NAKURU,NAIVASHA,naivasha,LAKE VIEW,Operational,No,No,No,No,,Yes,Yes,No
18789,Chuka University Dispensary,,Level 2,Dispensaries and clinic-out patient only,Academic,Kenya MPDB - Institution,0,0,THARAKA-NITHI,CHUKA/IGAMBANG'OMBE,chuka/igambang'ombe,KARINGANI,Operational,No,No,Yes,No,,Yes,Yes,No
18788,Muhamarani Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,LAMU,LAMU WEST,lamu west,WITU,Operational,No,No,No,No,,Yes,Yes,No
18786,Nyandusi,,Level 3,Basic primary health care facility,Private Practice - Nurse / Midwifery,Kenya MPDB - Private Practice,30,0,SIAYA,BONDO,bondo,WEST SAKWA,Operational,Yes,No,Yes,No,,Yes,Yes,No
18783,Axis Nursing Home,,Level 3,Basic primary health care facility,Private Practice - General Practitioner,Kenya MPDB - Private Practice,4,0,MOMBASA,MVITA,mvita,MJI WA KALE/MAKADARA,Operational,Yes,No,Yes,No,,Yes,Yes,No
18782,Chamuka (CDF) Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,NYANDARUA,OLJOROOK,oljoroorok,WERU,Operational,No,No,No,No,,Yes,Yes,No
18781,Gatimu Health Centre,,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,4,0,NYANDARUA,OLJOROOK,oljoroorok,GATIMU,Operational,No,No,No,No,,Yes,Yes,No
18780,Fountain of Hope Medical Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Ministry of Health,3,3,MACHAKOS,MAVOKO,athi river,SYOKIMAU/MULOLONGO,Operational,Yes,No,Yes,No,,Yes,Yes,No
18779,Mugai Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KAKAMEGA,MALAVA,malava,SHIRUNGU-MUGAI,Operational,No,No,No,No,,Yes,Yes,No
18778,Dr Florence Murila (Ngong Road),,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,KIBRA,kibera,WOODLEY/KENYATTA GOLF COURSE,Operational,No,No,Yes,No,,Yes,Yes,No
18776,St Lukes Orthopaedic and Trauma Hospital,,Level 4,Primary care hospitals,Private Practice - General Practitioner,Kenya MPDB - Private Practice,60,0,UASIN GISHU,KESSES,kesses,RACECOURSE,Operational,Yes,No,Yes,No,,Yes,Yes,No
18775,Kamarandi Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,THARAKA-NITHI,THARAKA,tharaka south,CHIAKAGIRA,Operational,No,No,No,No,,Yes,Yes,No
18772,Omosocho Medical Clinic (Manga),,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Kenya MPDB - Private Practice,4,2,NYAMIRA,KITUTU MASABA,manga,MANGA,Operational,No,No,Yes,No,,Yes,Yes,No
18770,Andulus Medical Clinic,,Level 3,Basic primary health care facility,Private Enterprise (Institution),Kenya MPDB - Private Practice,16,2,NAIROBI,KAMUKUNJI,kamukunji,EASTLEIGH NORTH,Operational,Yes,No,Yes,No,,Yes,Yes,No
18769,Al Amin Nursing Home,,Level 3,Basic primary health care facility,Private Practice - Clinical Officer,"Kenya Medical Laboratory, Tech & Technologists Board",14,0,NAIROBI,KAMUKUNJI,kamukunji,EASTLEIGH NORTH,Operational,Yes,No,Yes,No,,Yes,Yes,No
18767,Marps Drop In Medical Centre,,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Ministry of Health,0,0,NAROK,NAROK NORTH,narok north,NAROK TOWN,Operational,No,No,No,No,,Yes,Yes,No
18765,Jena Medical Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,TURKANA,TURKANA CENTRAL,turkana central,KANAMKEMER,Operational,No,No,Yes,No,,Yes,Yes,No
18764,Akicha Medical Services,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,TURKANA,TURKANA CENTRAL,turkana central,KANAMKEMER,Operational,No,No,Yes,No,,Yes,Yes,No
18762,Lang'ata Dispensary (Ruiru),,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KIAMBU,RUIRU,ruiru,KIUU,Operational,No,No,No,No,,Yes,Yes,No
18761,Spa Nursing Home,,Level 3,Basic primary health care facility,Private Practice - General Practitioner,Kenya MPDB - Private Practice,11,0,KIAMBU,JUJA,juja,MURERA,Operational,Yes,No,Yes,No,,Yes,Yes,No
18760,Kamuthini Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,0,MAKUENI,KILOME,kilome,MUKAA,Operational,Yes,No,Yes,No,,Yes,Yes,No
18758,Jalsonga Medical Clinic,,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Kenya MPDB - Private Practice,0,0,SIAYA,ALEGO USONGA,alego usonga,SIAYA TOWNSHIP,Operational,No,No,Yes,No,,Yes,Yes,No
18755,Family Dental Care (Ayany),,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Institution,0,0,NAIROBI,KIBRA,kibera,SARANG'OMBE,Operational,No,No,Yes,No,,Yes,Yes,No
18754,Clinix Health Care (Kibra),,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Kenya MPDB - Institution,0,0,NAIROBI,KIBRA,kibera,SARANG'OMBE,Operational,No,No,No,No,,Yes,Yes,No
18753,Mucharage Mlc,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Ministry of Health,1,1,TRANS NZOIA,SABOTI,saboti,MATISI,Operational,No,No,Yes,No,,Yes,Yes,No
18751,Ash Community Health Centre,,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Ministry of Health,4,2,TRANS NZOIA,KIMININI,kiminini,WAITALUK,Operational,Yes,No,Yes,No,,Yes,Yes,No
18749,Serena Beach Hotel & Spa Staff Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Kenya MPDB - Institution,0,0,MOMBASA,KISAUNI,kisauni,SHANZU,Operational,No,No,Yes,No,,Yes,Yes,No
18748,Comfort The Chidren International (Ctc) Naivasha,,Level 2,Administrative Offices,Non-Governmental Organizations,Kenya MPDB - Institution,0,0,NAKURU,NAIVASHA,naivasha,MAI MAHIU,Operational,No,No,No,No,,Yes,Yes,No
18747,Vegpro Delamere Pivot Medical Clinic (Naivasha),,Level 2,Dispensaries and clinic-out patient only,Company Medical Service,Kenya MPDB - Institution,0,0,NAKURU,NAIVASHA,naivasha,VIWANDANI,Operational,No,No,Yes,No,,Yes,Yes,No
18746,Tionybei Medical Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Kenya MPDB - Private Practice,0,0,BARINGO,BARINGO CENTRAL,baringo central,KAPROPITA,Operational,No,No,Yes,No,,Yes,Yes,No
18745,Comboni Missionary Sisters Health Programm,,Level 2,Administrative Offices,Kenya Episcopal Conference-Catholic Secretariat,Other,0,0,NAIROBI,EMBAKASI NORTH,embakasi north,KARIOBANGI NORTH,Operational,No,No,Yes,No,,Yes,Yes,No
18744,Premium Health Services,,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,EMBAKASI NORTH,embakasi north,KARIOBANGI NORTH,Operational,No,No,Yes,No,,Yes,Yes,No
18743,Kariobangi EDARP,,Level 2,Dispensaries and clinic-out patient only,Kenya Episcopal Conference-Catholic Secretariat,Kenya MPDB - Institution,0,0,NAIROBI,EMBAKASI NORTH,embakasi north,KARIOBANGI NORTH,Operational,No,No,Yes,No,,Yes,Yes,No
18742,Kiptome Dispensary (Belgut),,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,4,0,KERICHO,BELGUT,belgut,KABIANGA,Operational,No,No,Yes,No,,Yes,Yes,No
18741,Vipawa Medical Services,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,NAIROBI,KIBRA,kibera,LINDI,Operational,Yes,No,Yes,No,,Yes,Yes,No
18740,Green Valley Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),1,0,VIHIGA,EMUHAYA,emuhaya,WEST BUNYORE,Operational,No,No,Yes,No,,Yes,Yes,No
18739,Eagle Wings Medical Centre,,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,LANGATA,langata,MUGUMO-INI,Operational,No,No,Yes,No,,Yes,Yes,No
18738,Aga Khan University Hospital -New Machakos Medical,,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,MACHAKOS,MACHAKOS TOWN,machakos,MACHAKOS CENTRAL,Operational,No,No,Yes,No,,Yes,Yes,No
18737,Lobei Health Centre,,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,20,0,WEST POKOT,KACHELIBA,pokot north,ALALE,Operational,Yes,No,Yes,No,,Yes,Yes,No
18736,Huruma Medical Clinc,,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,MERU,BUURI,buuri,TIMAU,Operational,No,No,No,No,,Yes,Yes,No
18735,Madaraka Health Services,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Kenya MPDB - Private Practice,0,0,MERU,NORTH IMENTI,imenti north,MUNICIPALITY,Operational,No,No,No,No,,Yes,Yes,No
18734,New Generation Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,0,0,MERU,NORTH IMENTI,imenti north,MUNICIPALITY,Operational,No,No,No,No,,Yes,Yes,No
18733,Makutano Medical Clinic (Meru),,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,MERU,NORTH IMENTI,imenti north,MUNICIPALITY,Operational,No,No,No,No,,Yes,Yes,No
18732,Kenya Assemblies of God Medical Clinic,,Level 2,Dispensaries and clinic-out patient only,Other Faith Based,Kenya MPDB - Private Practice,0,0,MERU,NORTH IMENTI,imenti north,NTIMA WEST,Operational,No,No,No,No,,Yes,Yes,No
18731,Meru Consultant Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Kenya MPDB - Private Practice,0,0,MERU,NORTH IMENTI,imenti north,MUNICIPALITY,Operational,No,No,No,No,,Yes,Yes,No
18730,Afya Medical Clinic (Meru),,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,MERU,NORTH IMENTI,imenti north,NTIMA WEST,Operational,No,No,No,No,,Yes,Yes,No
18729,Kefra Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,MERU,NORTH IMENTI,imenti north,NTIMA WEST,Operational,No,No,No,No,,Yes,Yes,No
18728,Dr Muthuri Jj Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,MERU,NORTH IMENTI,imenti north,MUNICIPALITY,Operational,No,No,No,No,,Yes,Yes,No
18727,Umoja Medical Clinic (Imenti North),,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,0,0,MERU,NORTH IMENTI,imenti north,MUNICIPALITY,Operational,No,No,Yes,No,,Yes,Yes,No
18726,Upendo Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,MERU,NORTH IMENTI,imenti north,NTIMA WEST,Operational,No,No,No,No,,Yes,Yes,No
18725,Pedo Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KISUMU,NYAKACH,nyakach,CENTRAL NYAKACH,Operational,No,No,Yes,No,,Yes,Yes,No
18723,Diplomatic Medical Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,MERU,BUURI,buuri,TIMAU,Operational,No,No,No,No,,Yes,Yes,No
18721,Kandaria Medical Centre,,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Institution,0,0,KISUMU,NYAKACH,nyakach,SOUTH EAST NYAKACH,Operational,Yes,No,Yes,No,,Yes,Yes,No
18720,House of Hope Medical Centre,,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,KISUMU,NYAKACH,nyakach,NORTH NYAKACH,Operational,No,No,Yes,No,,Yes,Yes,No
18719,Everest Medical/Dental Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,MERU,NORTH IMENTI,imenti north,NTIMA EAST,Operational,No,No,No,No,,Yes,Yes,No
18717,Slopes Medical Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Medical Specialist,Kenya MPDB - Private Practice,0,0,MERU,BUURI,buuri,TIMAU,Operational,No,No,No,No,,Yes,Yes,No
18716,Dr Kiara Medical Clinic (Timau),,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,MERU,BUURI,buuri,TIMAU,Operational,No,No,No,No,,Yes,Yes,No
18714,Mummy Medical Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Unspecified,Kenya MPDB - Private Practice,0,0,MERU,BUURI,buuri,KIIRUA/NAARI,Operational,No,No,No,No,,Yes,Yes,No
18713,Pr Health Services,,Level 2,Basic primary health care facility,Private Practice - Nurse / Midwifery,Kenya MPDB - Private Practice,0,0,MERU,BUURI,buuri,KIIRUA/NAARI,Operational,No,No,No,No,,Yes,Yes,No
18712,Nazarene Sister's Dispensary Rwarera,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Unspecified,Kenya MPDB - Private Practice,0,0,MERU,BUURI,buuri,RUIRU/RWAWERA,Operational,No,No,No,No,,Yes,Yes,No
18711,Philia Medical Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,0,0,MERU,BUURI,buuri,RUIRU/RWAWERA,Operational,No,No,No,No,,Yes,Yes,No
18710,Tumaini Medical Clinic (Yatta),,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Kenya MPDB - Private Practice,1,0,MACHAKOS,MATUNGULU,matungulu,MATUNGULU NORTH,Operational,No,No,Yes,No,,Yes,Yes,No
18709,Ruiri Medical Centre,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Unspecified,Kenya MPDB - Private Practice,0,0,MERU,BUURI,buuri,RUIRU/RWAWERA,Operational,No,No,No,No,,Yes,Yes,No
18708,Path Care Kenya,,Level 2,Laboratory,Private Practice - Unspecified,Kenya MPDB - Private Practice,0,0,MERU,NORTH IMENTI,imenti north,MUNICIPALITY,Operational,No,No,No,No,,Yes,Yes,No
18707,Mutindwa Clinic and Lab,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Unspecified,Kenya MPDB - Private Practice,0,0,MERU,NORTH IMENTI,imenti north,MUNICIPALITY,Operational,No,No,No,No,,Yes,Yes,No
18704,Tumaini Medical Clinic (Meru),,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,0,0,MERU,NORTH IMENTI,imenti north,NTIMA EAST,Operational,No,No,No,No,,Yes,Yes,No
18703,Gakoromone Health Care Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Kenya MPDB - Private Practice,0,0,MERU,NORTH IMENTI,imenti north,NTIMA EAST,Operational,No,No,No,No,,Yes,Yes,No
18702,Mirigamieru Health Services,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Kenya MPDB - Private Practice,0,0,MERU,NORTH IMENTI,imenti north,NTIMA EAST,Operational,No,No,No,No,,Yes,Yes,No
18701,Mayo Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Unspecified,Kenya MPDB - Private Practice,0,0,MERU,NORTH IMENTI,imenti north,MUNICIPALITY,Operational,No,No,No,No,,Yes,Yes,No
18699,Thuura Health Care,,Level 2,Basic primary health care facility,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,MERU,NORTH IMENTI,imenti north,NTIMA EAST,Operational,No,No,No,No,,Yes,Yes,No
18698,Magana Medical Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Other,0,0,KIAMBU,KIKUYU,kikuyu,KIKUYU,Operational,No,No,No,No,,Yes,Yes,No
18695,Khaburu Chemist (Ntima East),,Level 2,Basic primary health care facility,Private Practice - General Practitioner,Kenya MPDB - Institution,0,0,MERU,NORTH IMENTI,imenti north,NTIMA EAST,Operational,No,No,No,No,,Yes,Yes,No
18691,Mercy Mission Medical Dispensary,,Level 2,Dispensaries and clinic-out patient only,Kenya Episcopal Conference-Catholic Secretariat,Ministry of Health,2,0,MAKUENI,KILOME,kilome,MUKAA,Operational,No,No,No,No,,Yes,Yes,No
18690,Maria Salus Infirmorum Dispensary,,Level 2,Dispensaries and clinic-out patient only,Christian Health Association of Kenya,Ministry of Health,3,0,MAKUENI,KILOME,kilome,MUKAA,Operational,No,No,Yes,No,,Yes,Yes,No
18689,Kikule Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,1,MACHAKOS,MASINGA,masinga,MUTHESYA,Operational,No,No,No,No,,Yes,Yes,No
18686,Ngelani Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KITUI,KITUI EAST,kitui east,ZOMBE/MWITIKA,Operational,No,No,No,No,,Yes,Yes,No
18676,Mastoo Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,NYANDARUA,NDARAGWA,ndaragwa,SHAMATA,Operational,No,No,No,No,,Yes,Yes,No
18673,Muthungue Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,1,0,KITUI,KITUI EAST,kitui east,VOO/KYAMATU,Operational,No,No,No,No,,Yes,Yes,No
18671,Aphia Disc 1 Nanyuki Transport,,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Ministry of Health,0,0,LAIKIPIA,LAIKIPIA EAST,laikipia east,NANYUKI,Operational,No,No,No,No,,Yes,Yes,No
18670,Karimaini Community Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KIRINYAGA,NDIA,kirinyaga west,MUKURE,Operational,No,No,No,No,,Yes,Yes,No
18669,Eldoret Rapha Medical Centre,,Level 2,Dispensaries and clinic-out patient only,Christian Health Association of Kenya,Other,0,0,UASIN GISHU,MOIBEN,moiben,KIMUMU,Operational,No,No,Yes,No,,Yes,Yes,No
18666,Bingwa Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BOMET,CHEPALUNGU,chepalungu,SIONGIROI,Operational,No,No,No,No,,Yes,Yes,No
18665,Lelaitich Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BOMET,CHEPALUNGU,chepalungu,SIGOR,Operational,No,No,No,No,,Yes,Yes,No
18664,Koimiret Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BOMET,CHEPALUNGU,chepalungu,KONG'ASIS,Operational,No,No,No,No,,Yes,Yes,No
18662,Senate Health Services,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Nursing Council of Kenya (Private Practice),0,0,NAIROBI,EMBAKASI NORTH,embakasi north,DANDORA AREA IV,Operational,No,No,No,No,,Yes,Yes,No
