id,code,name,keph_level,facility_type,owner,regulatory_body,beds,cots,county,constituency,sub_county,ward,operation_status,open_whole_day,open_public_holidays,open_weekends,open_late_night,approved,public_visible,closed
1811,19522,Dr J L Amugugaba Clinic (Nairobi),Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,STAREHE,starehe,NAIROBI CENTRAL,Operational,No,No,No,No,Yes,Yes,No
1812,19520,Aculaser Institute,Level 3,Administrative Offices,Private Enterprise (Institution),Kenya MPDB - Institution,4,1,NAIROBI,WESTLANDS,westlands,KARURA,Operational,Yes,No,Yes,No,Yes,Yes,No
1813,19519,Medisafe Medical Labaratoty,Level 2,Laboratory,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,STAREHE,starehe,NAIROBI CENTRAL,Operational,No,No,No,No,Yes,Yes,No
1814,19515,Afya Bora Health Care,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Kenya MPDB - Institution,12,1,NAIROBI,WESTLANDS,westlands,KANGEMI,Operational,Yes,No,Yes,No,Yes,Yes,No
1815,19513,Kawangware Health Centre,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Nursing Council of Kenya (Private Practice),0,0,NAIROBI,DAGORETTI SOUTH,dagoretti south,KAWANGWARE,Operational,No,No,No,No,Yes,Yes,No
1816,19512,Mafra Clinic,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Kenya MPDB - Institution,5,0,NAIROBI,WESTLANDS,westlands,KANGEMI,Operational,Yes,No,Yes,No,Yes,Yes,No
1817,19508,Local Aid Organization,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Nursing Council of Kenya (Private Practice),0,0,NAIROBI,DAGORETTI SOUTH,dagoretti south,NGANDO,Operational,No,No,No,No,Yes,Yes,No
1818,19506,Professional Diagnostic Centre (Nairobi),Level 2,Laboratory,Private Practice - General Practitioner,"Kenya Medical Laboratory, Tech & Technologists Board",0,0,NAIROBI,STAREHE,starehe,NAIROBI CENTRAL,Operational,No,No,Yes,No,Yes,Yes,No
1819,19504,Child Doctor Kenya,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Kenya MPDB - Private Practice,0,0,NAIROBI,KIBRA,kibera,WOODLEY/KENYATTA GOLF COURSE,Operational,No,No,No,No,Yes,Yes,No
1820,19503,Latema Medical Services (Nairobi),Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,STAREHE,starehe,NAIROBI CENTRAL,Operational,No,No,No,No,Yes,Yes,No
1821,19499,Nyalego Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,NAIROBI,DAGORETTI SOUTH,dagoretti north,KABIRO,Operational,No,No,Yes,No,Yes,Yes,No
1822,19498,Premier Laboratory (Nairobi),Level 2,Laboratory,Private Practice - General Practitioner,"Kenya Medical Laboratory, Tech & Technologists Board",0,0,NAIROBI,STAREHE,starehe,NAIROBI CENTRAL,Operational,No,No,Yes,No,Yes,Yes,No
1823,19494,Westlands Medical Centre,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Pharmacy & Poisons Board,2,2,NAIROBI,WESTLANDS,westlands,PARKLANDS/HIGHRIDGE,Operational,Yes,No,Yes,No,Yes,Yes,No
1824,19492,Odeon Medical Centre (Nairobi),Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,STAREHE,starehe,NAIROBI CENTRAL,Operational,No,No,Yes,No,Yes,Yes,No
1825,19491,Victory Medicare,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Other,0,0,NAIROBI,WESTLANDS,westlands,KANGEMI,Operational,No,No,Yes,No,Yes,Yes,No
1826,19490,Jellin Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,NAIROBI,DAGORETTI SOUTH,dagoretti south,RIRUTA,Operational,No,No,Yes,No,Yes,Yes,No
1827,19489,Ignane Health Centre,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,MERU,CENTRAL IMENTI,imenti central,ABOTHUGUCHI CENTRAL,Operational,No,No,No,No,Yes,Yes,No
1828,19488,Kamili Organization,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Kenya MPDB - Institution,0,0,NAIROBI,WESTLANDS,westlands,KITISURU,Operational,Yes,No,No,No,Yes,Yes,No
1829,19487,Rafiki Medical Clinic (Westlands),Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Institution,0,0,NAIROBI,WESTLANDS,westlands,MOUNTAIN VIEW,Operational,Yes,No,Yes,No,Yes,Yes,No
1830,19486,Credible Health Centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,MAKADARA,makadara,VIWANDANI,Operational,Yes,No,Yes,No,Yes,Yes,No
1831,19484,Abby Clinic,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Kenya MPDB - Institution,1,1,NAIROBI,WESTLANDS,westlands,KANGEMI,Operational,Yes,No,Yes,No,Yes,Yes,No
1832,19483,Philis Medical Laboratory,Level 2,Laboratory,Private Practice - General Practitioner,"Kenya Medical Laboratory, Tech & Technologists Board",0,0,NAIROBI,STAREHE,starehe,NAIROBI CENTRAL,Operational,No,No,No,No,Yes,Yes,No
1833,19482,Medanta Africare,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Institution,0,0,NAIROBI,DAGORETTI NORTH,dagoretti north,KILIMANI,Operational,No,No,Yes,No,Yes,Yes,No
1834,19481,Lumumba Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,0,0,NAIROBI,MAKADARA,makadara,MARINGO/HAMZA,Operational,Yes,No,Yes,No,Yes,Yes,No
1835,19480,Dr Parmar Medical Clinic (Nairobi),Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,STAREHE,starehe,NAIROBI CENTRAL,Operational,No,No,No,No,Yes,Yes,No
1836,19479,Nile Medical Care,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,NAIROBI,DAGORETTI SOUTH,dagoretti south,MUTU-INI,Operational,No,No,Yes,No,Yes,Yes,No
1837,19478,Millenium Dental Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,MAKADARA,makadara,VIWANDANI,Operational,No,No,Yes,No,Yes,Yes,No
1838,19477,Nairobi Outreach Services Trust,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,STAREHE,starehe,NGARA,Operational,No,No,No,No,Yes,Yes,No
1839,19476,Upendo Clinic Makadara,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Kenya MPDB - Private Practice,0,0,NAIROBI,MAKADARA,makadara,MARINGO/HAMZA,Operational,No,No,No,No,Yes,Yes,No
1840,19475,Rinah Health Consultants,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,STAREHE,starehe,NAIROBI CENTRAL,Operational,No,No,Yes,No,Yes,Yes,No
1841,19473,Maendereo Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Kenya MPDB - Private Practice,0,0,NAIROBI,MAKADARA,makadara,MARINGO/HAMZA,Operational,Yes,No,Yes,No,Yes,Yes,No
1842,19472,Hamza Medical Centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,0,0,NAIROBI,MAKADARA,makadara,VIWANDANI,Operational,Yes,No,Yes,No,Yes,Yes,No
1843,19471,Iom Wellness Clinic,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Kenya MPDB - Institution,2,0,NAIROBI,KAMUKUNJI,kamukunji,AIRBASE,Operational,No,No,No,No,Yes,Yes,No
1844,19470,Corner Hse Med Laboratory,Level 2,Laboratory,Private Practice - General Practitioner,"Kenya Medical Laboratory, Tech & Technologists Board",0,0,NAIROBI,STAREHE,starehe,NAIROBI CENTRAL,Operational,No,No,Yes,No,Yes,Yes,No
1845,19469,Imani Health Servises,Level 3,Basic primary health care facility,Private Practice - Nurse / Midwifery,Clinical Officers Council,4,0,NAIROBI,DAGORETTI SOUTH,dagoretti south,WAITHAKA,Operational,Yes,No,Yes,No,Yes,Yes,No
1846,19468,Dr Jemmah & Nyawange Med Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,STAREHE,starehe,NAIROBI CENTRAL,Operational,No,No,No,No,Yes,Yes,No
1847,19467,Access Afya,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,STAREHE,starehe,NAIROBI SOUTH,Operational,No,No,Yes,No,Yes,Yes,No
1848,19466,Remer Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Kenya MPDB - Private Practice,0,0,MERU,CENTRAL IMENTI,imenti central,ABOTHUGUCHI CENTRAL,Operational,No,No,No,No,Yes,Yes,No
1849,19465,Orient Medical Care,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,NAIROBI,DAGORETTI SOUTH,dagoretti south,RIRUTA,Operational,No,No,Yes,No,Yes,Yes,No
1850,19463,Metropolitan Dr Plaza,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,MAKADARA,makadara,MARINGO/HAMZA,Operational,No,No,No,No,Yes,Yes,No
1851,19462,Avenue Health Care (Makadara),Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,MAKADARA,makadara,VIWANDANI,Operational,No,No,No,No,Yes,Yes,No
1852,19461,Al-Ramah Healthcare,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,GARISSA,GARISSA TOWNSHIP,garissa,WABERI,Operational,No,No,Yes,No,Yes,Yes,No
1853,19460,Garissa Pride Healthcare,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,GARISSA,GARISSA TOWNSHIP,garissa,WABERI,Operational,No,No,Yes,No,Yes,Yes,No
1854,19459,Iqlas Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,GARISSA,GARISSA TOWNSHIP,garissa,GALBET,Operational,No,No,Yes,No,Yes,Yes,No
1855,19458,Innercore Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Unspecified,Clinical Officers Council,2,1,NAIROBI,EMBAKASI WEST,embakasi west,UMOJA I,Operational,No,No,Yes,No,Yes,Yes,No
1856,19457,Aga Khan Greenspam Medical Centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - Unspecified,Kenya MPDB - Private Practice,2,1,NAIROBI,EMBAKASI EAST,embakasi east,UPPER SAVANNAH,Operational,No,Yes,Yes,No,Yes,Yes,No
1857,19455,Communal Oriented Service International Centre,Level 3,Basic primary health care facility,Private Practice - General Practitioner,Nursing Council of Kenya (Private Practice),16,4,NAIROBI,EMBAKASI EAST,embakasi east,UTAWALA,Operational,Yes,No,Yes,No,Yes,Yes,No
1858,19452,Eastern Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Unspecified,Nursing Council of Kenya (Private Practice),2,1,NAIROBI,EMBAKASI CENTRAL,embakasi central,KAYOLE NORTH,Operational,No,No,Yes,No,Yes,Yes,No
1859,19451,Primed Medical Services Komarock,Level 2,Dispensaries and clinic-out patient only,Private Practice - Unspecified,Nursing Council of Kenya (Private Practice),2,1,NAIROBI,EMBAKASI CENTRAL,embakasi central,KOMAROCK,Operational,Yes,No,Yes,No,Yes,Yes,No
1860,19450,Connections Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Unspecified,Nursing Council of Kenya (Private Practice),2,1,NAIROBI,EMBAKASI EAST,embakasi east,EMBAKASI,Operational,No,No,Yes,No,Yes,Yes,No
1861,19449,Scion Healthcare Ltd Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Unspecified,Clinical Officers Council,2,1,NAIROBI,EMBAKASI EAST,embakasi east,EMBAKASI,Operational,Yes,No,Yes,No,Yes,Yes,No
1862,19448,St John Medical Centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - Unspecified,Pharmacy & Poisons Board,2,1,NAIROBI,EMBAKASI CENTRAL,embakasi central,KAYOLE CENTRAL,Operational,Yes,No,Yes,No,Yes,Yes,No
1863,19447,Provide International Hospital Mukuru,Level 3,Basic primary health care facility,Non-Governmental Organizations,Nursing Council of Kenya (Private Practice),2,1,NAIROBI,EMBAKASI EAST,embakasi east,EMBAKASI,Operational,Yes,No,Yes,No,Yes,Yes,No
1864,19446,Jamii Medical Clinic Mukuru,Level 2,Dispensaries and clinic-out patient only,Private Practice - Unspecified,Clinical Officers Council,2,1,NAIROBI,EMBAKASI SOUTH,embakasi south,KWA NJENGA,Operational,Yes,No,Yes,No,Yes,Yes,No
1865,19445,Santi Meridian Health Care,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,1,2,NAIROBI,EMBAKASI CENTRAL,embakasi central,KOMAROCK,Operational,Yes,No,Yes,No,Yes,Yes,No
1866,19444,Trocare Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Clinical Officers Council,1,2,NAIROBI,EMBAKASI CENTRAL,embakasi central,KAYOLE NORTH,Operational,Yes,No,Yes,No,Yes,Yes,No
1867,19443,Exodus Community Health Care,Level 2,Dispensaries and clinic-out patient only,Private Practice - Unspecified,Nursing Council of Kenya (Private Practice),1,2,NAIROBI,EMBAKASI CENTRAL,embakasi central,KAYOLE CENTRAL,Operational,Yes,No,Yes,No,Yes,Yes,No
1868,19442,Mwera Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,2,1,NAIROBI,EMBAKASI CENTRAL,embakasi central,KAYOLE CENTRAL,Operational,Yes,No,Yes,No,Yes,Yes,No
1869,19441,Abra Health Services,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Institution,2,1,NAIROBI,EMBAKASI EAST,embakasi east,UPPER SAVANNAH,Operational,No,No,Yes,No,Yes,Yes,No
1870,19440,Primed Medical Centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,2,1,NAIROBI,EMBAKASI EAST,embakasi east,UPPER SAVANNAH,Operational,Yes,No,Yes,No,Yes,Yes,No
1871,19439,Corban Health Care,Level 2,Basic primary health care facility,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),3,1,NAIROBI,EMBAKASI WEST,embakasi west,UMOJA II,Operational,No,No,Yes,No,Yes,Yes,No
1872,19438,St Maurice Medical Services,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),2,1,NAIROBI,EMBAKASI EAST,embakasi east,LOWER SAVANNAH,Operational,No,No,Yes,No,Yes,Yes,No
1873,19437,Embakasi Medical Centre,Level 2,Basic primary health care facility,Private Practice - Clinical Officer,Clinical Officers Council,4,2,NAIROBI,EMBAKASI SOUTH,embakasi south,KWARE,Operational,Yes,No,Yes,No,Yes,Yes,No
1874,19436,Kings Cross Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Clinical Officers Council,2,1,NAIROBI,EMBAKASI CENTRAL,embakasi central,KAYOLE CENTRAL,Operational,Yes,No,Yes,No,Yes,Yes,No
1875,19435,PCEA Kayole Parish Health Centre,Level 2,Dispensaries and clinic-out patient only,Christian Health Association of Kenya,Nursing Council of Kenya (Private Practice),3,2,NAIROBI,EMBAKASI CENTRAL,embakasi central,KOMAROCK,Operational,No,No,Yes,No,Yes,Yes,No
1876,19434,The Mater Embakasi Clinic,Level 2,Dispensaries and clinic-out patient only,Kenya Episcopal Conference-Catholic Secretariat,Kenya MPDB - Institution,4,2,NAIROBI,EMBAKASI SOUTH,embakasi south,PIPELINE,Operational,No,No,Yes,No,Yes,Yes,No
1877,19433,Jamii Yadah Medical Centre,Level 2,Basic primary health care facility,Private Practice - General Practitioner,Kenya MPDB - Institution,4,2,KAJIADO,KAJIADO CENTRAL,kajiado central,DALALEKUTUK,Operational,No,No,Yes,No,Yes,Yes,No
1878,19432,Mariakani Cottage Hospital Utawala Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Institution,5,2,NAIROBI,EMBAKASI EAST,embakasi east,UTAWALA,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
1879,19431,Kiamuthambi Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KIRINYAGA,KIRINYAGA CENTRAL,kirinyaga central,KANYEKINI,Operational,Yes,No,No,No,Yes,Yes,No
1880,19429,Swop Outreach Project Clinic,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Clinical Officers Council,4,2,NAIROBI,EMBAKASI EAST,embakasi east,UPPER SAVANNAH,Operational,Yes,No,Yes,No,Yes,Yes,No
1881,19428,Bans Optical (Nairobi),Level 2,Basic primary health care facility,Private Practice - Clinical Officer,Pharmacy & Poisons Board,0,0,NAIROBI,STAREHE,starehe,NAIROBI CENTRAL,Operational,No,No,No,No,Yes,Yes,No
1882,19427,Goldmed Chemists & Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,STAREHE,starehe,NAIROBI CENTRAL,Operational,No,No,No,No,Yes,Yes,No
1883,19426,Dr Parmar Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,STAREHE,starehe,NAIROBI CENTRAL,Operational,No,No,No,No,Yes,Yes,No
1884,19425,Dr George Munene Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,STAREHE,starehe,NAIROBI CENTRAL,Operational,No,No,No,No,Yes,Yes,No
1885,19424,Parkroad Dental Clinic (Ngara),Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,STAREHE,starehe,NGARA,Operational,No,No,No,No,Yes,Yes,No
1886,19423,Dr Nzuki Hildapaed Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,STAREHE,starehe,NAIROBI CENTRAL,Operational,No,No,No,No,Yes,Yes,No
1887,19422,Starehe Boys Centre School Clinic,Level 2,Dispensaries and clinic-out patient only,Academic,Other,0,0,NAIROBI,STAREHE,starehe,ZIWANI/KARIOKOR,Operational,Yes,No,Yes,No,Yes,Yes,No
1888,19421,Iran Medical Clinic (Ngara),Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,STAREHE,starehe,NGARA,Operational,No,No,No,No,Yes,Yes,No
1889,19420,Dr M S Saroya Medical Clinic (Nairobi),Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,STAREHE,starehe,NAIROBI CENTRAL,Operational,No,No,No,No,Yes,Yes,No
1890,19419,Dr Maina Skin Clinic (Ngara),Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,STAREHE,starehe,NGARA,Operational,No,No,Yes,No,Yes,Yes,No
1891,19418,Dr Chaundry Dental Services (Nairobi),Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,STAREHE,starehe,NAIROBI CENTRAL,Operational,No,No,Yes,No,Yes,Yes,No
1892,19416,Dr Musili Clinic (Afya Centre-Nairobi),Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,STAREHE,starehe,NAIROBI CENTRAL,Operational,No,No,No,No,Yes,Yes,No
1893,19413,Acacia Medical Centre (Nairobi),Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,STAREHE,starehe,NAIROBI CENTRAL,Operational,No,No,Yes,No,Yes,Yes,No
1894,19411,Betta Health Care,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Nursing Council of Kenya (Private Practice),0,0,MERU,IGEMBE SOUTH,igembe south,MAUA,Operational,No,No,Yes,No,Yes,Yes,No
1895,19410,Isiolo Medical Centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Institution,0,0,ISIOLO,ISIOLO NORTH,isiolo,WABERA,Operational,No,No,Yes,No,Yes,Yes,No
1896,19409,Maua Diagnostic Centre,Level 2,Laboratory,Laboratory Technician/Technologist,"Kenya Medical Laboratory, Tech & Technologists Board",0,0,MERU,IGEMBE SOUTH,igembe south,MAUA,Operational,No,No,Yes,No,Yes,Yes,No
1897,19408,Iqra Medical Centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Institution,0,0,ISIOLO,ISIOLO NORTH,isiolo,WABERA,Operational,No,No,Yes,No,Yes,Yes,No
1898,19406,Quality Health Care Clinic (Naivasha),Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,NAKURU,NAIVASHA,naivasha,LAKE VIEW,Operational,No,No,No,No,Yes,Yes,No
1899,19405,Bridging Out-Patient,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,ROYSAMBU,roysambu,KAHAWA,Operational,No,No,No,No,Yes,Yes,No
1900,19404,Annex Health Care,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,ROYSAMBU,roysambu,GITHURAI,Operational,No,No,Yes,No,Yes,Yes,No
1901,19403,Max Family Health Care,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,ROYSAMBU,roysambu,GITHURAI,Operational,No,No,Yes,No,Yes,Yes,No
1902,19401,Rosadett Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,EMBAKASI WEST,embakasi west,KARIOBANGI SOUTH,Operational,No,No,Yes,No,Yes,Yes,No
1903,19400,Sharifik Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,ROYSAMBU,roysambu,KAHAWA,Operational,Yes,No,Yes,No,Yes,Yes,No
1904,19399,Unity Health Care,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,ROYSAMBU,roysambu,KAHAWA,Operational,No,No,Yes,No,Yes,Yes,No
1905,19398,Jozi Medical Centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,ROYSAMBU,roysambu,ZIMMERMAN,Operational,No,No,Yes,No,Yes,Yes,No
1906,19397,Afyamax Medical & Centre Dental,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,ROYSAMBU,roysambu,ZIMMERMAN,Operational,No,No,Yes,No,Yes,Yes,No
1907,19395,Meridian Medical Centre (Loita Street),Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,STAREHE,starehe,NAIROBI CENTRAL,Operational,No,No,No,No,Yes,Yes,No
1908,19394,Swop Clinic,Level 2,Dispensaries and clinic-out patient only,Non-Governmental Organizations,Other,0,0,NAIROBI,STAREHE,starehe,NAIROBI CENTRAL,Operational,No,No,No,No,Yes,Yes,No
1909,19393,Social Service League (Nairobi ),Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Kenya MPDB - Institution,0,0,NAIROBI,STAREHE,starehe,NAIROBI CENTRAL,Operational,No,No,Yes,No,Yes,Yes,No
1910,19392,Crescent Medical Aid (Jamia Towers),Level 2,Dispensaries and clinic-out patient only,Supreme Council for Kenya Muslims,Kenya MPDB - Institution,0,0,NAIROBI,STAREHE,starehe,NAIROBI CENTRAL,Operational,No,No,Yes,No,Yes,Yes,No
1911,19389,Sosio Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,BUNGOMA,MT. ELGON,mt elgon,KAPTAMA,Operational,No,No,No,No,Yes,Yes,No
1912,19388,Kapsokwony Medicare,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Clinical Officers Council,0,0,BUNGOMA,MT. ELGON,mt elgon,ELGON,Operational,No,No,Yes,No,Yes,Yes,No
1913,19387,Maraa Catholic Dispensary,Level 2,Dispensaries and clinic-out patient only,Kenya Episcopal Conference-Catholic Secretariat,Ministry of Health,0,0,MERU,SOUTH IMENTI,imenti south,ABOGETA EAST,Operational,No,No,Yes,No,Yes,Yes,No
1914,19385,Mt Elgon Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),2,0,BUNGOMA,MT. ELGON,Cheptais,CHEPTAIS,Operational,No,No,Yes,No,Yes,Yes,No
1915,19384,Ravine Medical and ENT Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Ministry of Health,0,0,BARINGO,ELDAMA RAVINE,koibatek,RAVINE,Operational,No,No,Yes,No,Yes,Yes,No
1916,19382,Royolk Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,ROYSAMBU,roysambu,ZIMMERMAN,Operational,No,No,Yes,No,Yes,Yes,No
1917,19381,Success Medical Services,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,ROYSAMBU,roysambu,ZIMMERMAN,Operational,No,No,Yes,No,Yes,Yes,No
1918,19380,St Teresa Medical Clinic ( Zimmerman),Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,ROYSAMBU,roysambu,ZIMMERMAN,Operational,No,No,Yes,No,Yes,Yes,No
1919,19379,Sanitas Lotus Medical Centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,ROYSAMBU,roysambu,ZIMMERMAN,Operational,No,No,Yes,No,Yes,Yes,No
1920,19378,Zimma Health Care,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,ROYSAMBU,roysambu,ZIMMERMAN,Operational,No,No,Yes,No,Yes,Yes,No
